tempo_s,gX,gY,gZ,angleX,angleY,angleZ,pitch,roll
0.04,0.01,1.00,2.39,0.74,90.00,-1.52,0.47
0.0,0.04,0.01,1.00,2.36,0.70,90.00,-1.50,0.44
0.2,0.04,0.01,1.00,2.44,0.69,90.00,-1.55,0.44
0.4,0.04,0.01,1.00,2.41,0.69,90.00,-1.53,0.44
0.6,0.04,0.01,1.00,2.45,0.76,90.00,-1.56,0.49
0.8,0.04,0.01,1.00,2.42,0.71,90.00,-1.54,0.46
1.0,0.04,0.01,1.00,2.42,0.73,90.00,-1.54,0.46
1.2,0.04,0.01,1.00,2.41,0.72,90.00,-1.53,0.46
1.4,0.04,0.01,1.00,2.43,0.68,90.00,-1.55,0.43
1.6,0.04,0.01,1.00,2.37,0.73,90.00,-1.51,0.47
1.8,0.04,0.01,1.00,2.48,0.74,90.00,-1.58,0.47
2.0,0.04,0.01,1.00,2.38,0.72,90.00,-1.52,0.46
2.2,0.04,0.01,1.00,2.42,0.70,90.00,-1.54,0.45
2.4,0.04,0.01,1.00,2.42,0.76,90.00,-1.54,0.48
2.6,0.04,0.01,1.00,2.44,0.71,90.00,-1.55,0.46
2.8,0.04,0.01,1.00,2.43,0.69,90.00,-1.55,0.44
3.0,0.04,0.01,1.00,2.43,0.74,90.00,-1.55,0.47
3.2,0.04,0.01,1.00,2.39,0.74,90.00,-1.52,0.47
3.4,0.04,0.01,1.00,2.44,0.71,90.00,-1.55,0.45
3.6,0.04,0.01,1.00,2.46,0.79,90.00,-1.57,0.50
3.8,0.04,0.01,1.00,2.51,0.77,90.00,-1.59,0.49
4.0,0.04,0.01,1.00,2.38,0.73,90.00,-1.51,0.46
4.2,0.04,0.01,1.00,2.48,0.75,90.00,-1.58,0.48
4.4,0.04,0.01,1.00,2.38,0.63,85.72,-1.59,0.42
4.6,0.06,0.01,0.99,3.18,0.67,83.65,-2.18,0.46
4.8,0.12,0.03,1.03,6.99,1.56,90.00,-4.44,0.99
5.0,0.15,0.04,1.03,8.85,2.32,90.00,-5.62,1.47
5.2,0.09,-0.11,0.98,5.39,-6.47,78.49,-3.92,-4.72
5.4,0.02,-0.21,0.98,1.28,-12.38,77.50,-0.94,-9.07
5.6,-0.07,-0.26,0.94,-3.75,-14.98,69.25,3.03,-12.20
5.8,-0.07,-0.06,0.97,-4.17,-3.33,75.23,3.17,-2.54
6.0,0.05,0.12,1.02,2.93,7.17,90.00,-1.86,4.55
6.2,0.07,0.27,0.98,4.05,15.43,78.26,-2.90,11.15
6.4,0.06,0.26,0.97,3.46,15.27,76.53,-2.53,11.28
6.6,0.01,0.13,1.00,0.81,7.71,90.00,-0.51,4.90
6.8,-0.01,-0.12,1.02,-0.52,-6.70,90.00,0.33,-4.26
7.0,-0.02,-0.22,0.96,-1.08,-12.43,74.37,0.82,-9.49
7.2,0.02,-0.49,0.76,1.02,-29.46,49.86,-1.00,-30.58
7.4,0.06,-0.76,0.80,3.50,-49.66,52.99,-2.76,-43.14
7.6,0.06,-0.81,0.52,3.27,-53.96,31.29,-3.00,-59.90
7.8,0.06,-0.58,0.84,3.29,-35.64,57.07,-2.80,-31.99
8.0,0.02,-0.12,0.97,1.27,-6.71,75.53,-0.96,-5.07
8.2,0.01,0.18,0.98,0.54,10.40,78.13,-0.39,7.58
8.4,-0.03,0.48,0.89,-1.59,28.49,63.16,1.31,24.28
8.6,-0.03,0.67,0.84,-1.72,42.24,57.66,1.38,36.22
8.8,-0.03,0.36,0.90,-1.94,20.82,64.59,1.63,17.86
9.0,0.01,0.13,1.01,0.33,7.73,90.00,-0.21,4.91
9.2,-0.09,-0.00,0.94,-5.02,-0.19,70.38,4.08,-0.16
9.4,0.02,0.01,1.04,1.16,0.49,90.00,-0.74,0.31
9.6,0.21,0.04,0.95,12.26,2.14,72.32,-9.62,1.69
9.8,0.42,0.05,0.92,24.98,2.74,66.25,-20.64,2.37
10.0,0.59,0.05,0.79,36.36,2.80,52.55,-34.64,3.05
10.2,0.72,0.06,0.71,46.13,3.30,45.58,-45.27,4.15
10.4,0.67,0.04,0.78,42.32,2.12,51.17,-39.57,2.37
