tempo_s,gX,gY,gZ,angleX,angleY,angleZ,pitch,roll
-0.00,-0.00,1.00,-0.09,-0.05,89.54,0.06,-0.03
0.0,-0.00,-0.00,1.00,-0.02,-0.00,86.45,0.01,-0.00
0.2,-0.00,-0.00,1.00,-0.09,-0.05,86.68,0.06,-0.03
0.4,-0.00,-0.00,1.00,-0.02,-0.01,87.51,0.01,-0.01
0.6,-0.00,0.00,1.00,-0.04,0.01,87.59,0.03,0.01
0.8,-0.00,-0.00,1.00,-0.02,-0.05,86.87,0.01,-0.03
1.0,-0.00,0.00,1.00,-0.07,0.05,89.00,0.04,0.03
1.2,0.00,-0.00,1.00,0.00,-0.06,87.59,-0.00,-0.04
1.4,-0.00,-0.00,1.00,-0.01,-0.04,87.43,0.01,-0.03
1.6,-0.00,0.00,1.00,-0.05,0.04,86.56,0.03,0.03
1.8,-0.00,0.00,1.00,-0.03,0.04,90.00,0.02,0.02
2.0,-0.00,-0.00,1.00,-0.12,-0.01,86.87,0.08,-0.01
2.2,-0.00,0.00,1.00,-0.08,0.01,88.38,0.05,0.01
2.4,0.00,-0.00,1.00,0.03,-0.05,87.43,-0.02,-0.03
2.6,0.00,-0.00,1.00,0.03,-0.04,86.56,-0.02,-0.03
2.8,-0.00,0.00,1.00,-0.12,0.00,86.45,0.08,0.00
3.0,-0.00,-0.00,1.00,-0.07,-0.07,86.74,0.04,-0.04
3.2,-0.00,-0.00,1.00,-0.14,-0.09,86.87,0.09,-0.06
3.4,-0.00,-0.00,1.00,-0.03,-0.02,87.06,0.02,-0.01
3.6,-0.00,-0.00,1.00,-0.04,-0.02,89.00,0.03,-0.01
3.8,-0.00,-0.00,1.00,-0.01,-0.03,88.81,0.01,-0.02
4.0,0.00,0.00,1.00,0.08,0.06,90.00,-0.05,0.04
4.2,-0.00,-0.00,1.00,-0.11,-0.05,88.81,0.07,-0.03
4.4,-0.00,-0.00,1.00,-0.03,-0.03,87.67,0.02,-0.02
4.6,-0.00,-0.00,1.00,-0.08,-0.05,89.54,0.05,-0.03
4.8,-0.00,-0.00,1.00,-0.03,-0.02,88.26,0.02,-0.01
5.0,-0.00,0.00,1.00,-0.05,0.03,89.00,0.03,0.02
5.2,-0.00,0.00,1.00,-0.05,0.06,90.00,0.03,0.04
5.4,-0.00,-0.00,1.00,-0.07,-0.00,88.26,0.05,-0.00
5.6,-0.00,-0.00,1.00,-0.04,-0.05,87.76,0.03,-0.03
5.8,-0.00,-0.00,1.00,-0.09,-0.03,90.00,0.06,-0.02
6.0,-0.00,-0.00,1.00,-0.02,-0.03,87.67,0.01,-0.02
6.2,-0.00,-0.00,1.00,-0.01,-0.04,90.00,0.01,-0.02
6.4,-0.00,0.00,1.00,-0.07,0.02,87.59,0.05,0.01
6.6,-0.00,-0.00,1.00,-0.06,-0.03,86.50,0.04,-0.02
6.8,0.00,0.00,1.00,0.01,0.04,88.15,-0.01,0.03
7.0,0.00,0.00,1.00,0.03,0.01,88.26,-0.02,0.00
7.2,-0.00,0.00,1.00,-0.08,0.01,88.26,0.05,0.01
7.4,-0.00,-0.00,1.00,-0.09,-0.01,87.76,0.06,-0.01
7.6,-0.00,-0.00,1.00,-0.10,-0.00,87.95,0.06,-0.00
7.8,-0.00,-0.00,1.00,-0.03,-0.04,87.76,0.02,-0.02
8.0,-0.00,-0.00,1.00,-0.06,-0.03,88.05,0.04,-0.02
8.2,-0.00,0.00,1.00,-0.05,0.01,87.95,0.03,0.01
8.4,-0.00,-0.00,1.00,-0.07,-0.03,88.26,0.04,-0.02
8.6,-0.00,0.00,1.00,-0.01,0.03,90.00,0.01,0.02
8.8,-0.00,0.00,1.00,-0.00,0.02,88.51,0.00,0.01
9.0,0.00,0.00,1.00,0.02,0.03,90.00,-0.02,0.02
9.2,-0.00,0.00,1.00,-0.01,0.01,90.00,0.01,0.00
9.4,-0.00,0.00,1.00,-0.09,0.08,89.54,0.06,0.05
9.6,-0.00,0.00,1.00,-0.04,0.01,88.15,0.02,0.00
9.8,0.00,-0.00,1.00,0.00,-0.01,89.54,-0.00,-0.00
10.0,-0.00,-0.00,1.00,-0.10,-0.09,87.00,0.06,-0.06
10.2,-0.00,-0.00,1.00,-0.09,-0.03,87.13,0.06,-0.02
10.4,-0.00,-0.00,1.00,-0.07,-0.07,87.59,0.05,-0.05
10.6,0.00,0.00,1.00,0.01,0.00,88.05,-0.00,0.00
10.8,-0.00,-0.00,1.00,-0.06,-0.00,90.00,0.04,-0.00
11.0,-0.00,-0.00,1.00,-0.04,-0.04,90.00,0.02,-0.02
11.2,0.00,-0.00,1.00,0.02,-0.01,90.00,-0.01,-0.01
11.4,0.00,-0.00,1.00,0.00,-0.06,88.51,-0.00,-0.04
11.6,0.00,-0.00,1.00,0.01,-0.06,88.05,-0.01,-0.04
11.8,-0.00,-0.00,1.00,-0.08,-0.05,88.05,0.05,-0.03
12.0,-0.00,-0.00,1.00,-0.09,-0.04,87.95,0.06,-0.03
12.2,0.00,-0.00,1.00,0.02,-0.01,90.00,-0.01,-0.00
12.4,-0.00,-0.00,1.00,-0.09,-0.06,90.00,0.06,-0.04
12.6,-0.00,0.00,1.00,-0.08,0.04,90.00,0.05,0.03
12.8,-0.00,0.00,1.00,-0.05,0.03,89.00,0.03,0.02
13.0,-0.00,-0.00,1.00,-0.06,-0.06,90.00,0.04,-0.04
13.2,0.00,0.00,1.00,0.03,0.04,90.00,-0.02,0.03
13.4,-0.00,-0.00,1.00,-0.04,-0.06,90.00,0.03,-0.04
13.6,-0.00,0.00,1.00,-0.09,0.04,88.15,0.06,0.02
13.8,-0.00,-0.00,1.00,-0.04,-0.05,87.13,0.03,-0.03
14.0,-0.00,-0.00,1.00,-0.07,-0.03,87.76,0.05,-0.02
14.2,-0.00,-0.00,1.00,-0.06,-0.03,90.00,0.04,-0.02
14.4,-0.00,0.00,1.00,-0.04,0.02,88.05,0.02,0.01
14.6,-0.00,-0.00,1.00,-0.06,-0.05,87.06,0.04,-0.03
14.8,0.00,-0.00,1.00,0.05,-0.01,90.00,-0.03,-0.01
15.0,0.00,-0.00,1.00,0.01,-0.03,90.00,-0.00,-0.02
15.2,-0.00,0.00,1.00,-0.02,0.01,90.00,0.01,0.01
15.4,-0.00,-0.00,1.00,-0.02,-0.06,88.51,0.02,-0.04
15.6,-0.00,0.00,1.00,-0.04,0.02,87.85,0.03,0.01
15.8,-0.00,0.00,1.00,-0.03,0.08,89.00,0.02,0.05
16.0,-0.00,0.00,1.00,-0.02,0.03,90.00,0.02,0.02
16.2,0.00,-0.00,1.00,0.04,-0.01,88.65,-0.02,-0.01
16.4,0.00,-0.00,1.00,0.03,-0.00,90.00,-0.02,-0.00
16.6,-0.00,0.00,1.00,-0.01,0.09,90.00,0.01,0.06
16.8,0.00,0.00,1.00,0.01,0.02,90.00,-0.01,0.01
17.0,-0.00,0.00,1.00,-0.05,0.01,90.00,0.03,0.01
17.2,-0.00,-0.00,1.00,-0.09,-0.03,90.00,0.06,-0.02
17.4,-0.00,0.00,1.00,-0.09,0.04,88.65,0.06,0.02
17.6,-0.00,0.00,1.00,-0.05,0.00,87.76,0.03,0.00
17.8,0.00,0.00,1.00,0.00,0.05,90.00,-0.00,0.03
18.0,0.00,0.00,1.00,0.03,0.06,88.38,-0.02,0.04
18.2,-0.00,-0.00,1.00,-0.05,-0.02,90.00,0.03,-0.01
18.4,-0.00,0.00,1.00,-0.01,0.09,88.81,0.01,0.06
18.6,-0.00,0.00,1.00,-0.00,0.01,90.00,0.00,0.01
18.8,0.00,0.00,1.00,0.05,0.04,89.00,-0.03,0.02
19.0,0.00,-0.00,1.00,0.01,-0.00,87.95,-0.01,-0.00
19.2,0.00,0.00,1.00,0.00,0.01,89.22,-0.00,0.01
19.4,0.00,-0.00,1.00,0.01,-0.02,88.38,-0.01,-0.01
19.6,0.00,-0.00,1.00,0.00,-0.02,90.00,-0.00,-0.01
19.8,-0.00,0.00,1.00,-0.01,0.07,88.26,0.01,0.05
20.0,0.00,-0.00,1.00,0.00,-0.03,89.22,-0.00,-0.02
20.2,0.00,0.00,1.00,0.04,0.06,90.00,-0.02,0.04
20.4,0.00,0.00,1.00,0.05,0.01,88.65,-0.03,0.00
20.6,-0.00,0.00,1.00,-0.02,0.07,90.00,0.01,0.04
20.8,0.00,0.00,1.00,0.00,0.02,90.00,-0.00,0.01
21.0,-0.00,-0.00,1.00,-0.02,-0.01,89.54,0.01,-0.00
21.2,-0.00,0.00,1.00,-0.05,0.02,89.22,0.03,0.01
21.4,-0.00,0.00,1.00,-0.02,0.01,88.81,0.01,0.00
21.6,-0.00,0.00,1.00,-0.09,0.08,88.81,0.06,0.05
21.8,-0.00,0.00,1.00,-0.10,0.01,87.95,0.07,0.00
22.0,-0.00,-0.00,1.00,-0.10,-0.04,87.28,0.07,-0.03
22.2,-0.00,0.00,1.00,-0.05,0.00,88.15,0.03,0.00
22.4,-0.00,-0.00,1.00,-0.09,-0.01,87.67,0.06,-0.01
22.6,-0.00,0.00,1.00,-0.05,0.02,90.00,0.03,0.02
22.8,-0.00,-0.00,1.00,-0.09,-0.05,87.85,0.06,-0.03
23.0,-0.00,-0.00,1.00,-0.12,-0.07,88.81,0.08,-0.05
23.2,-0.00,-0.00,1.00,-0.05,-0.10,90.00,0.03,-0.06
23.4,-0.00,-0.00,1.00,-0.01,-0.00,88.26,0.01,-0.00
23.6,0.00,-0.00,1.00,0.01,-0.02,87.43,-0.01,-0.01
23.8,-0.00,-0.00,1.00,-0.06,-0.00,87.95,0.04,-0.00
24.0,-0.00,-0.00,1.00,-0.17,-0.04,87.67,0.11,-0.03
24.2,-0.00,-0.00,1.00,-0.07,-0.05,89.00,0.04,-0.03
24.4,-0.00,-0.00,1.00,-0.08,-0.07,87.35,0.05,-0.05
24.6,-0.00,0.00,1.00,-0.01,0.04,88.15,0.01,0.03
24.8,-0.00,-0.00,1.00,-0.10,-0.03,88.05,0.07,-0.02
25.0,-0.00,-0.00,1.00,-0.10,-0.04,87.43,0.06,-0.02
25.2,-0.00,-0.00,1.00,-0.06,-0.11,88.81,0.04,-0.07
25.4,-0.00,-0.00,1.00,-0.04,-0.02,87.00,0.03,-0.01
25.6,-0.00,-0.00,1.00,-0.06,-0.04,88.81,0.04,-0.02
25.8,-0.00,-0.00,1.00,-0.05,-0.01,88.51,0.03,-0.01
26.0,-0.00,-0.00,1.00,-0.08,-0.01,87.95,0.05,-0.01
26.2,-0.00,-0.00,1.00,-0.08,-0.02,89.00,0.05,-0.01
26.4,-0.00,-0.00,1.00,-0.06,-0.05,87.59,0.04,-0.03
26.6,-0.00,-0.00,1.00,-0.01,-0.06,88.15,0.00,-0.04
26.8,-0.00,0.00,1.00,-0.02,0.00,88.26,0.01,0.00
27.0,-0.00,-0.00,1.00,-0.08,-0.01,89.00,0.05,-0.01
27.2,-0.00,0.00,1.00,-0.08,0.03,88.81,0.05,0.02
27.4,-0.00,-0.00,1.00,-0.02,-0.01,87.20,0.01,-0.01
27.6,-0.00,-0.00,1.00,-0.09,-0.03,88.81,0.06,-0.02
27.8,-0.00,-0.00,1.00,-0.10,-0.05,90.00,0.06,-0.03
28.0,0.00,-0.00,1.00,0.01,-0.01,90.00,-0.00,-0.01
28.2,-0.00,0.00,1.00,-0.03,0.03,87.35,0.02,0.02
28.4,0.00,-0.00,1.00,0.04,-0.01,90.00,-0.02,-0.00
28.6,-0.00,0.00,1.00,-0.03,0.01,88.05,0.02,0.00
28.8,-0.00,-0.00,1.00,-0.04,-0.03,87.85,0.03,-0.02
29.0,-0.00,-0.00,1.00,-0.07,-0.01,87.59,0.05,-0.01
29.2,0.00,0.00,1.00,0.01,0.03,89.00,-0.00,0.02
29.4,0.00,0.00,1.00,0.03,0.03,88.26,-0.02,0.02
29.6,-0.00,0.00,1.00,-0.05,0.00,87.67,0.03,0.00
29.8,-0.00,-0.00,1.00,-0.08,-0.02,89.22,0.05,-0.01
